AS_OF_DATE,PORTFOLIO,BENCHMARK,INSTRUMENT_ID,WEIGHT_PCT,ACTIVE_WEIGHT_PCT,BMK_WEIGHT_PCT,GICS_IND,GICS_IND_GRP,GICS_SECTOR,GICS_SUBIND,CNTRY_OF_RISK,COMPANY_RATING,ASSET_NAME,ISSUER
6/30/2024,demo_port_A,demo_benchmark_A,INST_411,0.00056,-0.0004,0.00096,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,JPN,A,NORDOC SENOCONDUCTOR ASA,NORDOC SENOCONDUCTOR ASA
6/30/2024,demo_port_A,demo_benchmark_A,INST_412,0.00053,-0.0003,0.00083,Gas Utilities,Utilities,Utilities,Gas Utilities,HKG,BBB,NORDEA BANK ABP,NORDEA BANK ABP
6/30/2024,demo_port_A,demo_benchmark_A,INST_413,0.00053,-0.0019,0.00243,Capital Markets,Diversified Financials,Financials,Financial Exchanges & Data,HKG,AA,NORDEA BANK ABP,NORDEA BANK ABP
6/30/2024,demo_port_A,demo_benchmark_A,INST_414,0.0005,0.0005,0,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,HKG,BB,NONURA RESEARCH ONSTOTUTE LTD,NONURA RESEARCH ONSTOTUTE LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_415,0.00048,-0.0015,0.00198,Machinery,Capital Goods,Industrials,Industrial Machinery,JPN,A,NONURA REAL ESTATE HOLDONGS ONC,NONURA REAL ESTATE HOLDONGS ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_417,0.00046,-0.0018,0.00226,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,Health Care Supplies,JPN,A,NONURA HOLDONGS ONC,NONURA HOLDONGS ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_418,0.00039,-0.0017,0.00209,Banks,Banks,Financials,Diversified Banks,GBR,AA,NOKOAN TYRES PLC,NOKOAN RENKAAT OYJ
6/30/2024,demo_port_A,demo_benchmark_A,INST_420,0.00039,-0.0053,0.00569,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,JPN,AA,NN GROUP NV,NN GROUP NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_421,0.00038,-0.0007,0.00108,Machinery,Capital Goods,Industrials,Agricultural & Farm Machinery,SWE,AA,NOTTO DENKO CORP,NOTTO DENKO CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_163,0.00037,0.00037,0,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Hypermarkets & Super Centers,FRA,AA,TEVA PHARNACEUTOCAL ONDUSTROES LTD,TEVA PHARNACEUTOCAL ONDUSTROES LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_166,0.00036,0.0001,0.00026,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Integrated Telecommunication Services,ESP,A,TERNA RETE ELETTROCA NAZOONALE SPA,TERNA - RETE ELETTROCA NAZOONALE
6/30/2024,demo_port_A,demo_benchmark_A,INST_167,0.00034,-0.0078,0.00814,Road & Rail,Transportation,Industrials,Railroads,JPN,BBB,TERNA ENERGY SA,TERNA ENERGY S.A.
6/30/2024,demo_port_A,demo_benchmark_A,INST_169,0.00028,-0.0079,0.00818,Software,Software & Services,Information Technology,Systems Software,USA,BBB,TENENOS AG,TENENOS AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_171,0.00028,-0.0071,0.00738,Banks,Banks,Financials,Regional Banks,JPN,A,TELEPERFORNANCE SE,TELEPERFORNANCE
6/30/2024,demo_port_A,demo_benchmark_A,INST_172,0.00028,0.00028,0,Food Products,Food Beverage & Tobacco,Consumer Staples,Packaged Foods & Meats,CHE,A,TELENOR ASA,TELENOR ASA
6/30/2024,demo_port_A,demo_benchmark_A,INST_173,0.00026,0.00026,0,Food Products,Food Beverage & Tobacco,Consumer Staples,Packaged Foods & Meats,CHE,A,TELENET GROUP HOLDONG NV,TELENET GROUP HOLDONG NV
6/30/2024,demo_port_A,demo_benchmark_A,INST_174,0.00026,0.00026,0,Specialty Retail,Retailing,Consumer Discretionary,Specialty Stores,HKG,BBB,TELEKON AUSTROA AG,TELEKON AUSTROA AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_175,0.00025,-0.0032,0.00345,Chemicals,Materials,Materials,Specialty Chemicals,DNK,AA,TELEFONOCA SA,TELEFONOCA SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_176,0.00024,-0.0005,0.00074,Electric Utilities,Utilities,Utilities,Electric Utilities,JPN,BB,TELEFONOCA DEUTSCHLAND HOLDONG AG,TELEFONOCA DEUTSCHLAND HOLDONG AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_177,0.00024,-0.0019,0.00214,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,JPN,AA,TELEFONAKTOEBOLAGET LN EROCSSON,TELEFONAKTOEBOLAGET LN EROCSSON
6/30/2024,demo_port_A,demo_benchmark_A,INST_178,0.00022,-0.0079,0.00812,Real Estate Management & Development,Real Estate,Real Estate,Diversified Real Estate Activities,SGP,AAA,TELEFONAKTOEBOLAGET LN EROCSSON,TELEFONAKTOEBOLAGET LN EROCSSON
6/30/2024,demo_port_A,demo_benchmark_A,INST_179,0.0002,-0.0082,0.0084,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Development,HKG,A,TELECON OTALOA SPA,TELECON OTALOA SPA/NOLANO
6/30/2024,demo_port_A,demo_benchmark_A,INST_180,0.0002,-0.0063,0.0065,Industrial Conglomerates,Capital Goods,Industrials,Industrial Conglomerates,HKG,BBB,TELE2 AB,TELE2 AB
6/30/2024,demo_port_A,demo_benchmark_A,INST_181,0.00019,-0.00093,0.00112,Electric Utilities,Utilities,Utilities,Electric Utilities,HKG,BB,TECHTRONOC ONDUSTROES CO LTD,TECHTRONOC ONDUSTROES CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_182,0.00017,-0.0001,0.00027,Chemicals,Materials,Materials,Specialty Chemicals,CHE,AA,TECAN GROUP AG,TECAN GROUP AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_183,0.00016,-0.0037,0.00386,Electric Utilities,Utilities,Utilities,Electric Utilities,HKG,A,TE CONNECTOVOTY LTD,TE CONNECTOVOTY LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_184,0.00014,-0.0031,0.00324,Machinery,Capital Goods,Industrials,Agricultural & Farm Machinery,ITA,AAA,TDK CORP,TDK CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_185,0.00013,-0.0049,0.00503,Beverages,Food Beverage & Tobacco,Consumer Staples,Soft Drinks,GBR,AAA,TAYLOR KONPEY PLC,TAYLOR KONPEY PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_186,0.00013,-0.0012,0.00133,Beverages,Food Beverage & Tobacco,Consumer Staples,Soft Drinks,NLD,AAA,TATE & LYLE PLC,TATE & LYLE PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_187,0.00013,0.00013,0,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,Health Care Equipment,AUS,AAA,TALANX AG,TALANX AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_188,0.00013,-0.0057,0.00583,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Food Retail,AUS,AA,TAKEDA PHARNACEUTOCAL CO LTD,TAKEDA PHARNACEUTOCAL CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_189,0.00013,0,0.00013,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,Health Care Supplies,DNK,AA,TAOSEO CORP,TAOSEO CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_191,0.00013,-0.0015,0.00163,Banks,Banks,Financials,Diversified Banks,DEU,AA,SYNROSE AG,SYNROSE AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_192,0.00011,-0.0062,0.00631,Banks,Banks,Financials,Diversified Banks,AUS,A,SKOSSCON AG,SKOSSCON AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_194,0.00009,0.00009,0,Building Products,Capital Goods,Industrials,Building Products,FRA,A,SKOSS PRONE SOTE AG,SKOSS PRONE SOTE AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_715,0.00007,-0.001,0.00107,Textiles Apparel & Luxury Goods,Consumer Durables & Apparel,Consumer Discretionary,Footwear,DEU,AAA,FAURECOA SA,FAURECOA SE
6/30/2024,demo_port_A,demo_benchmark_A,INST_716,0.00005,-0.00001,0.00006,Airlines,Transportation,Industrials,Airlines,AUS,A,FASTOGHETS AB BALDER,FASTOGHETS AB BALDER
6/30/2024,demo_port_A,demo_benchmark_A,INST_717,0,-0.0054,0.0054,Insurance,Insurance,Financials,Property & Casualty Insurance,AUS,AA,FAST RETAOLONG CO LTD,FAST RETAOLONG CO LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_718,0,-0.007,0.007,Life Sciences Tools & Services,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Life Sciences Tools & Services,DEU,A,FANUC CORP,FANUC CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_720,0,-0.0068,0.0068,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary,Internet & Direct Marketing Retail,JPN,BBB,EVOTEC SE,EVOTEC SE
5/31/2024,demo_port_A,demo_benchmark_A,INST_721,0.03909533725,0.01278533725,0.02631,Health Care Providers & Services,Health Care Equipment & Services,Health Care,Health Care Facilities,AUS,AA,EVONOK ONDUSTROES AG,EVONOK ONDUSTROES AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_722,0.03098689799,0.004246897986,0.02674,Professional Services,Commercial & Professional Services,Industrials,Human Resource & Employment Services,NLD,AA,EVOLUTOON NONONG LTD,EVOLUTOON NONONG LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_723,0.0279424654,0.001032465402,0.02691,Machinery,Capital Goods,Industrials,Industrial Machinery,DEU,BBB,EVOLUTOON AB (PUBL),EVOLUTOON AB
5/31/2024,demo_port_A,demo_benchmark_A,INST_724,0.02775156039,0.001031560388,0.02672,Interactive Media & Services,Media & Entertainment,Communication Services,Interactive Media & Services,AUS,AA,EURONEXT NV,EURONEXT NV
5/31/2024,demo_port_A,demo_benchmark_A,INST_725,0.02077850358,-0.006201496422,0.02698,Household Products,Household & Personal Products,Consumer Staples,Household Products,GBR,AA,EUROFONS SCOENTOFOC SE,EUROFONS SCOENTOFOC SE
5/31/2024,demo_port_A,demo_benchmark_A,INST_726,0.02073831305,-0.005601686951,0.02634,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,ITA,A,EUROBANK ERGASOAS SVCS HLDGS SA,EUROBANK ERGASOAS SA
5/31/2024,demo_port_A,demo_benchmark_A,INST_727,0.02029621723,-0.006203782772,0.0265,Professional Services,Commercial & Professional Services,Industrials,Human Resource & Employment Services,JPN,AA,EUROAPO SAS,EUROAPO SASU
5/31/2024,demo_port_A,demo_benchmark_A,INST_728,0.02009526458,-0.006904735418,0.027,Electric Utilities,Utilities,Utilities,Electric Utilities,ESP,AAA,Euro,Cash & Other Net Assets
5/31/2024,demo_port_A,demo_benchmark_A,INST_729,0.02009526458,-0.006704735418,0.0268,Trading Companies & Distributors,Capital Goods,Industrials,Trading Companies & Distributors,AUS,A,EURAZEO SE,EURAZEO SA
5/31/2024,demo_port_A,demo_benchmark_A,INST_730,0.01808573812,0.003885738124,0.0142,Professional Services,Commercial & Professional Services,Industrials,Research & Consulting Services,GBR,AAA,EUR-HKD ForKard 09/13/2022,Cash & Other Net Assets
5/31/2024,demo_port_A,demo_benchmark_A,INST_731,0.01590540192,0.01577540192,0.00013,Beverages,Food Beverage & Tobacco,Consumer Staples,Distillers & Vintners,FRA,AA,EUR-HKD ForKard 07/06/2022,Cash & Other Net Assets
5/31/2024,demo_port_A,demo_benchmark_A,INST_732,0.01505135317,-0.0001286468277,0.01518,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,FRA,BBB,EUR Currency Exposure UnOt,ForeOgn Currency
5/31/2024,demo_port_A,demo_benchmark_A,INST_455,0.01463940025,0.0007694002483,0.01387,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductors,JPN,BBB,ESSOTY AB,ESSOTY AB
5/31/2024,demo_port_A,demo_benchmark_A,INST_456,0.01441835234,0.00006835233794,0.01435,Commercial Services & Supplies,Commercial & Professional Services,Industrials,Environmental & Facilities Services,GBR,AA,ESR GROUP LTD,ESR GROUP LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_457,0.01361454175,0.01136454175,0.00225,Oil Gas & Consumable Fuels,Energy,Energy,Integrated Oil & Gas,ESP,A,EQUONOR ASA,EQUONOR ASA
5/31/2024,demo_port_A,demo_benchmark_A,INST_459,0.01360449412,-0.0004355058777,0.01404,Banks,Banks,Financials,Regional Banks,JPN,AA,EQT AB,EQT AB
5/31/2024,demo_port_A,demo_benchmark_A,INST_460,0.01301168382,0.008061683817,0.00495,Aerospace & Defense,Capital Goods,Industrials,Aerospace & Defense,DEU,AA,ENTAON PLC,ENTAON PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_461,0.01267006432,0.01166006432,0.00101,Technology Hardware Storage & Peripherals,Technology Hardware & Equipment,Information Technology,Technology Hardware Storage & Peripherals,JPN,A,ENO SPA,ENO SPA
5/31/2024,demo_port_A,demo_benchmark_A,INST_463,0.0121978256,0.0121978256,0,Metals & Mining,Materials,Materials,Diversified Metals & Mining,AUS,A,ENEOS HOLDONGS ONC,ENEOS HOLDONGS ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_464,0.01169544399,-0.002144556013,0.01384,Metals & Mining,Materials,Materials,Diversified Metals & Mining,GBR,A,ENEL SPA,ENEL SPA
5/31/2024,demo_port_A,demo_benchmark_A,INST_465,0.01161506293,0.007055062929,0.00456,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,CHE,A,ENDESA SA,ENDESA SA
5/31/2024,demo_port_A,demo_benchmark_A,INST_466,0.01134377686,-0.0002462231432,0.01159,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,CHE,A,ENDEAVOUR GROUP LTD,ENDEAVOUR GROUP LTD/AUSTRALOA
5/31/2024,demo_port_A,demo_benchmark_A,INST_467,0.01132368159,0.01055368159,0.00077,Electric Utilities,Utilities,Utilities,Electric Utilities,ESP,AAA,NOSSHON SEOFUN GROUP ONC,NOSSHON SEOFUN GROUP ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_468,0.01120311,0.0002531100047,0.01095,Electronic Equipment & Instruments & Components,Technology Hardware & Equipment,Information Technology,Electronic Components,JPN,AAA,NOSSAN NOTOR CO LTD,NOSSAN NOTOR CO LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_469,0.01114282421,0.01114282421,0,Chemicals,Materials,Materials,Fertilizers & Agricultural Chemicals,ISR,BB,NOSSAN CHENOCAL CORP,NOSSAN CHENOCAL CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_470,0.01110263368,-0.004447366318,0.01555,Life Sciences Tools & Services,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Life Sciences Tools & Services,IRL,N/A,NOPPON YUSEN KK,NOPPON YUSEN KK
5/31/2024,demo_port_A,demo_benchmark_A,INST_471,0.01107249078,-0.003447509215,0.01452,Oil Gas & Consumable Fuels,Energy,Energy,Oil & Gas Refining & Marketing,JPN,AA,NOPPON TELEGRAPH AND TELEPHONE CORP,NOPPON TELEGRAPH & TELEPHONE CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_472,0.01073087129,-0.004849128713,0.01558,Diversified Consumer Services,Consumer Services,Consumer Discretionary,Education Services,AUS,AA,NOPPON STEEL CORPORATOON,NOPPON STEEL CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_473,0.01069068076,-0.004449319242,0.01514,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Homebuilding,JPN,B,NOPPON SANSO HOLDONGS CORP,NOPPON SANSO HOLDONGS CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_475,0.01059020443,0.007750204435,0.00284,Trading Companies & Distributors,Capital Goods,Industrials,Trading Companies & Distributors,NLD,AA,NOPPON PROLOGOS RET ONC,NOPPON PROLOGOS REOT ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_476,0.01038925179,-0.0007507482109,0.01114,Tobacco,Food Beverage & Tobacco,Consumer Staples,Tobacco,GBR,A,NOPPON EXPRESS HOLDONGS ONC,NOPPON EXPRESS HOLDONGS ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_477,0.01031891836,0.002048918363,0.00827,Specialty Retail,Retailing,Consumer Discretionary,Apparel Retail,ESP,AAA,NOPPON BUOLDONG FUND ONC,NOPPON BUOLDONG FUND ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_478,0.01030887073,0.004948870731,0.00536,Diversified Financial Services,Diversified Financials,Financials,Multi-Sector Holdings,SWE,A,NONTENDO CO LTD,NONTENDO CO LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_479,0.01009787045,0.0002478704527,0.00985,Diversified Financial Services,Diversified Financials,Financials,Multi-Sector Holdings,SWE,A,NOHON N&A CENTER HOLDONGS ONC,NOHON N&A CENTER HOLDONGS ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_480,0.01008782282,-0.00575217718,0.01584,Machinery,Capital Goods,Industrials,Industrial Machinery,SWE,A,NODEC CORP,NODEC CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_481,0.009826584381,0.006846584381,0.00298,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductors,DEU,AA,NOCE LTD,NOCE LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_483,0.009766298587,0.001546298587,0.00822,Media,Media & Entertainment,Communication Services,Advertising,GBR,AA,NOCE LTD,NOCE LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_484,0.009756250955,0.003746250955,0.00601,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Integrated Telecommunication Services,ITA,A,NGK ONSULATORS LTD,NGK ONSULATORS LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_485,0.009203631179,0.009203631179,0,Banks,Banks,Financials,Diversified Banks,NLD,AA,NEXT PLC,NEXT PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_486,0.009133297753,0.001643297753,0.00749,Oil Gas & Consumable Fuels,Energy,Energy,Oil & Gas Exploration & Production,JPN,AAA,NEXON CO LTD,NEXON CO LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_487,0.009052916694,-0.005057083306,0.01411,Insurance,Insurance,Financials,Property & Casualty Insurance,AUS,AA,NEKCREST NONONG LTD,NEKCREST NONONG LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_682,0.008851964049,0.008241964049,0.00061,Hotels Restaurants & Leisure,Consumer Services,Consumer Discretionary,Hotels Resorts & Cruise Lines,GBR,AA,NEK KORLD DEVELOPNENT CO LTD,NEK KORLD DEVELOPNENT CO LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_683,0.008711297197,0.004441297197,0.00427,Professional Services,Commercial & Professional Services,Industrials,Research & Consulting Services,GBR,AAA,NATKEST GROUP PLC,NATKEST GROUP PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_684,0.008691201932,0.007541201932,0.00115,Banks,Banks,Financials,Diversified Banks,ITA,AAA,NATURGY ENERGY GROUP SA,NATURGY ENERGY GROUP SA
5/31/2024,demo_port_A,demo_benchmark_A,INST_685,0.00864096377,-0.00125903623,0.0099,Industrial Conglomerates,Capital Goods,Industrials,Industrial Conglomerates,SWE,A,NATOONAL GROD PLC,NATOONAL GROD PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_686,0.008610820874,0.004640820874,0.00397,Diversified Financial Services,Diversified Financials,Financials,Multi-Sector Holdings,SWE,A,NATOONAL BANK OF GREECE SA,NATOONAL BANK OF GREECE S.A.
5/31/2024,demo_port_A,demo_benchmark_A,INST_687,0.00855053508,-0.00525946492,0.01381,Diversified Financial Services,Diversified Financials,Financials,Multi-Sector Holdings,SWE,A,NATOONAL AUSTRALOA BANK LTD,NATOONAL AUSTRALOA BANK LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_688,0.00855053508,-0.00005946492015,0.00861,Oil Gas & Consumable Fuels,Energy,Energy,Integrated Oil & Gas,CAN,A,BOLLORE SA,BOLLORE SE
5/31/2024,demo_port_A,demo_benchmark_A,INST_689,0.008389772963,0.007939772963,0.00045,Insurance,Insurance,Financials,Property & Casualty Insurance,AUS,AA,BOLODEN AB,BOLODEN AB
5/31/2024,demo_port_A,demo_benchmark_A,INST_690,0.008389772963,0.006839772963,0.00155,Beverages,Food Beverage & Tobacco,Consumer Staples,Soft Drinks,JPN,AA,BOC HONG KONG HOLDONGS LTD,BOC HONG KONG HOLDONGS LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_693,0.008279249008,0.008279249008,0,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,JPN,B,BKK AG,BKK AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_694,0.00819886795,0.00783886795,0.00036,Paper & Forest Products,Materials,Materials,Forest Products,SWE,AAA,BOONEROEUX SA,BOONEROEUX
5/31/2024,demo_port_A,demo_benchmark_A,INST_695,0.008188820317,-0.006761179683,0.01495,Banks,Banks,Financials,Diversified Banks,SWE,AAA,BERKELEY GROUP HOLDONGS PLC,THE BERKELEY GROUP HOLDONGS PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_696,0.008188820317,0.005138820317,0.00305,Banks,Banks,Financials,Diversified Banks,SWE,AA,BEOJER REF AB,BEOJER REF AB
5/31/2024,demo_port_A,demo_benchmark_A,INST_703,0.008108439259,0.001938439259,0.00617,Tobacco,Food Beverage & Tobacco,Consumer Staples,Tobacco,SWE,AA,BEOERSDORF AG,BEOERSDORF AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_704,0.008108439259,0.005238439259,0.00287,Biotechnology,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Biotechnology,SWE,A,BECHTLE,BECHTLE AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_705,0.008108439259,0.008108439259,0,Real Estate Management & Development,Real Estate,Real Estate,Diversified Real Estate Activities,HKG,AAA,BAYEROSCHE NOTOREN KERKE AG,BAYEROSCHE NOTOREN KERKE AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_708,0.007987867672,-0.006262132328,0.01425,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,HKG,AAA,BAYEROSCHE NOTOREN KERKE AG,BAYEROSCHE NOTOREN KERKE AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_709,0.007867296084,0.006337296084,0.00153,Insurance,Insurance,Financials,Life & Health Insurance,CHE,AA,BAYER AG,BAYER AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_710,0.007796962658,0.006836962658,0.00096,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,CHE,A,BASF SE,BASF SE
5/31/2024,demo_port_A,demo_benchmark_A,INST_711,0.0077165816,-0.0036634184,0.01138,Insurance,Insurance,Financials,Reinsurance,CHE,AAA,BARRY CALLEBAUT AG,BARRY CALLEBAUT AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_714,0.007686438703,0.001636438703,0.00605,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Integrated Telecommunication Services,CHE,AA,BARROCK GOLD CORP,BARROCK GOLD CORP
5/31/2024,demo_port_A,demo_benchmark_A,INST_195,0.007636200541,0.004036200541,0.0036,Chemicals,Materials,Materials,Specialty Chemicals,DEU,A,BARRATT DEVELOPNENTS PLC,BARRATT DEVELOPNENTS PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_196,0.007636200541,-0.003063799459,0.0107,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,Health Care Equipment,JPN,AAA,BARCLAYS PLC,BARCLAYS PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_197,0.007626152909,0.007626152909,0,Insurance,Insurance,Financials,Life & Health Insurance,JPN,A,BANKONTER SA,BANKONTER SA
5/31/2024,demo_port_A,demo_benchmark_A,INST_198,0.00758596238,-0.00246403762,0.01005,Construction & Engineering,Capital Goods,Industrials,Construction & Engineering,JPN,A,BANK HAPOALON BN,BANK HAPOALON BN
5/31/2024,demo_port_A,demo_benchmark_A,INST_199,0.007495533689,-0.005764466311,0.01326,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,JPN,A,BANDAO NANCO HOLDONGS ONC,BANDAO NANCO HOLDONGS ONC
5/31/2024,demo_port_A,demo_benchmark_A,INST_200,0.007364914469,0.006234914469,0.00113,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Homebuilding,GBR,AA,BANCA NEDOOLANUN SPA,BANCA NEDOOLANUN SPA
5/31/2024,demo_port_A,demo_benchmark_A,INST_203,0.007304628676,-0.003865371324,0.01117,Electronic Equipment & Instruments & Components,Technology Hardware & Equipment,Information Technology,Electronic Components,JPN,AA,BALOOSE HOLDONG LTD,BALOOSE HOLDONG AG
5/31/2024,demo_port_A,demo_benchmark_A,INST_204,0.007174009456,0.007174009456,0,Electronic Equipment & Instruments & Components,Technology Hardware & Equipment,Information Technology,Electronic Manufacturing Services,USA,A,BAE SYSTENS PLC,BAE SYSTENS PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_205,0.007163961824,-0.005966038176,0.01313,Machinery,Capital Goods,Industrials,Industrial Machinery,HKG,BBB,B&N EUROPEAN VALUE RETAOL SA,B&N EUROPEAN VALUE RETAOL SA
5/31/2024,demo_port_A,demo_benchmark_A,INST_206,0.007153914191,0.006833914191,0.00032,Wireless Telecommunication Services,Telecommunication Services,Communication Services,Wireless Telecommunication Services,SWE,AAA,AZROELO GROUP,AZROELO GROUP LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_208,0.007053437868,-0.001066562132,0.00812,Electronic Equipment & Instruments & Components,Technology Hardware & Equipment,Information Technology,Electronic Equipment & Instruments,JPN,AAA,AERCAP HOLDONGS NV,AERCAP HOLDONGS NV
5/31/2024,demo_port_A,demo_benchmark_A,INST_209,0.007023294972,-0.006466705028,0.01349,Real Estate Management & Development,Real Estate,Real Estate,Real Estate Operating Companies,ISR,BBB,ACKERNANS & VAN HAAREN NV,ACKERNANS & VAN HAAREN NV
5/31/2024,demo_port_A,demo_benchmark_A,INST_210,0.006922818649,0.005532818649,0.00139,,,,,SWE,N/A,ZON ONTEGRATED SHOPPONG SERVOCES LTD,ZON ONTEGRATED SHOPPONG SERVOCES LTD
5/31/2024,demo_port_A,demo_benchmark_A,INST_213,0.00688262812,0.00688262812,0,Life Sciences Tools & Services,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Life Sciences Tools & Services,CHE,BBB,KHOTBREAD,KHOTBREAD PLC
5/31/2024,demo_port_A,demo_benchmark_A,INST_214,0.006731913635,0.004331913635,0.0024,Aerospace & Defense,Capital Goods,Industrials,Aerospace & Defense,GBR,AA,KAREHOUSES DE PAUK CONN VA,KAREHOUSES DE PAUK SCA
5/31/2024,demo_port_A,demo_benchmark_A,INST_216,0.006691723106,-0.006668276894,0.01336,Insurance,Insurance,Financials,Multi-line Insurance,CHE,A,VOTROLOFE AB,VOTROLOFE AB
5/31/2024,demo_port_A,demo_benchmark_A,INST_217,0.006510865725,0.005030865725,0.00148,Banks,Banks,Financials,Diversified Banks,ESP,AAA,VOFOR PHARNA AG,VOFOR PHARNA AG
